iter	Passed	Remaining
0	204	204129
1	275	137681
2	334	111074
3	426	106195
4	478	95264
5	528	87546
6	591	83921
7	663	82310
8	713	78550
9	780	77314
10	857	77081
11	964	79430
12	1047	79540
13	1132	79791
14	1271	83470
15	1364	83901
16	1432	82848
17	1520	82972
18	1574	81313
19	1627	79756
20	1712	79822
21	1758	78162
22	1832	77825
23	1886	76733
24	1926	75135
25	1992	74638
26	2053	73999
27	2127	73837
28	2176	72870
29	2252	72837
30	2344	73280
31	2388	72265
32	2454	71916
33	2503	71120
34	2551	70350
35	2612	69954
36	2669	69485
37	2716	68773
38	2771	68298
39	2825	67801
40	2873	67221
41	2919	66587
42	3014	67082
43	3074	66792
44	3117	66159
45	3193	66234
46	3241	65722
47	3300	65453
48	3358	65179
49	3428	65141
50	3475	64670
51	3523	64235
52	3592	64182
53	3645	63869
54	3703	63630
55	3774	63624
56	3848	63670
57	3897	63298
58	3952	63032
59	4025	63063
60	4099	63103
61	4170	63094
62	4234	62974
63	4309	63021
64	4377	62969
65	4437	62799
66	4522	62977
67	4594	62971
68	4651	62756
69	4717	62677
70	4770	62418
71	4798	61849
72	4853	61634
73	4935	61761
74	5008	61770
75	5072	61669
76	5131	61513
77	5198	61445
78	5243	61133
79	5298	60934
80	5365	60875
81	5424	60732
82	5499	60754
83	5573	60772
84	5648	60809
85	5723	60827
86	5805	60924
87	5878	60917
88	5927	60677
89	6009	60757
90	6068	60622
91	6164	60837
92	6212	60590
93	6294	60665
94	6385	60831
95	6451	60747
96	6528	60776
97	6595	60704
98	6664	60652
99	6788	61100
100	6921	61610
101	7043	62008
102	7151	62284
103	7273	62660
104	7377	62885
105	7444	62788
106	7536	62895
107	7602	62790
108	7684	62817
109	7754	62739
110	7812	62572
111	7896	62607
112	7961	62496
113	8015	62296
114	8069	62102
115	8148	62096
116	8218	62026
117	8288	61951
118	8382	62057
119	8495	62298
120	8571	62266
121	8640	62185
122	8712	62119
123	8774	61986
124	8816	61716
125	8904	61763
126	8985	61763
127	9055	61692
128	9111	61518
129	9159	61299
130	9241	61303
131	9332	61365
132	9394	61242
133	9460	61140
134	9516	60978
135	9566	60775
136	9615	60571
137	9720	60720
138	9756	60436
139	9787	60121
140	9812	59777
141	9903	59842
142	10020	60054
143	10120	60162
144	10188	60079
145	10259	60013
146	10330	59945
147	10379	59753
148	10447	59668
149	10513	59577
150	10576	59466
151	10657	59457
152	10723	59366
153	10821	59445
154	10877	59297
155	10938	59181
156	10981	58963
157	11038	58825
158	11087	58642
159	11151	58547
160	11203	58384
161	11266	58277
162	11307	58062
163	11363	57925
164	11406	57725
165	11450	57530
166	11505	57389
167	11659	57742
168	11684	57454
169	11711	57180
170	11761	57017
171	11845	57021
172	11903	56903
173	11953	56746
174	12058	56849
175	12142	56847
176	12233	56881
177	12324	56915
178	12386	56811
179	12446	56700
180	12525	56675
181	12579	56539
182	12651	56482
183	12720	56410
184	12791	56352
185	12845	56214
186	12922	56182
187	12993	56120
188	13070	56083
189	13122	55943
190	13172	55792
191	13233	55689
192	13308	55646
193	13348	55459
194	13428	55436
195	13496	55363
196	13562	55281
197	13634	55228
198	13707	55176
199	13784	55136
200	13851	55061
201	13894	54891
202	13946	54754
203	14025	54726
204	14130	54798
205	14186	54678
206	14227	54505
207	14285	54395
208	14360	54349
209	14413	54224
210	14499	54218
211	14583	54204
212	14650	54131
213	14723	54079
214	14846	54207
215	14901	54085
216	14973	54030
217	15050	53987
218	15122	53931
219	15234	54013
220	15300	53931
221	15377	53890
222	15499	54004
223	15626	54136
224	15693	54056
225	15763	53985
226	15865	54025
227	15948	54001
228	16028	53963
229	16057	53758
230	16094	53580
231	16147	53452
232	16180	53263
233	16221	53100
234	16299	53060
235	16428	53184
236	16527	53209
237	16633	53254
238	16707	53199
239	16766	53093
240	16798	52903
241	16833	52727
242	16865	52541
243	16896	52351
244	16940	52204
245	16967	52005
246	16990	51797
247	17024	51622
248	17074	51498
249	17109	51329
250	17145	51162
251	17170	50966
252	17211	50817
253	17250	50664
254	17284	50497
255	17333	50376
256	17360	50188
257	17381	49988
258	17416	49828
259	17461	49697
260	17542	49670
261	17622	49640
262	17706	49617
263	17827	49700
264	17928	49727
265	18021	49729
266	18041	49528
267	18082	49390
268	18112	49220
269	18136	49035
270	18170	48877
271	18201	48716
272	18230	48548
273	18259	48381
274	18303	48255
275	18424	48331
276	18554	48428
277	18706	48583
278	18811	48613
279	18959	48751
280	19117	48917
281	19296	49130
282	19393	49134
283	19477	49105
284	19583	49130
285	19689	49156
286	19795	49177
287	19885	49162
288	19986	49170
289	20117	49252
290	20222	49270
291	20323	49277
292	20511	49494
293	20597	49463
294	20730	49542
295	20897	49702
296	20981	49662
297	21051	49590
298	21117	49508
299	21200	49468
300	21247	49341
301	21306	49245
302	21379	49179
303	21409	49016
304	21439	48853
305	21518	48803
306	21547	48639
307	21609	48550
308	21652	48420
309	21788	48495
310	21884	48483
311	21997	48506
312	22109	48527
313	22218	48541
314	22308	48512
315	22412	48513
316	22551	48588
317	22689	48661
318	22799	48671
319	22916	48697
320	23070	48799
321	23205	48860
322	23362	48966
323	23484	48999
324	23597	49009
325	23690	48979
326	23711	48800
327	23757	48673
328	23792	48525
329	23839	48401
330	23865	48236
331	23887	48061
332	23911	47895
333	23948	47752
334	24008	47659
335	24033	47495
336	24092	47397
337	24133	47268
338	24178	47144
339	24200	46978
340	24218	46803
341	24254	46665
342	24295	46536
343	24323	46383
344	24344	46219
345	24376	46075
346	24404	45926
347	24430	45772
348	24460	45627
349	24489	45480
350	24527	45350
351	24555	45203
352	24665	45207
353	24784	45228
354	24979	45384
355	25152	45500
356	25356	45670
357	25520	45765
358	25710	45906
359	25804	45874
360	25979	45985
361	26142	46074
362	26286	46128
363	26425	46172
364	26549	46188
365	26643	46152
366	26760	46157
367	26880	46163
368	26964	46110
369	27034	46031
370	27184	46089
371	27313	46109
372	27414	46083
373	27562	46134
374	27684	46141
375	27784	46110
376	27858	46036
377	27925	45951
378	28036	45939
379	28169	45961
380	28335	46035
381	28470	46059
382	28610	46090
383	28737	46099
384	28838	46067
385	28987	46110
386	29102	46097
387	29239	46119
388	29359	46114
389	29503	46146
390	29622	46138
391	29754	46150
392	29899	46180
393	30072	46253
394	30229	46300
395	30365	46314
396	30471	46282
397	30612	46303
398	30768	46345
399	30904	46356
400	30987	46288
401	31118	46291
402	31218	46247
403	31383	46298
404	31492	46266
405	31614	46253
406	31723	46220
407	31838	46196
408	31952	46170
409	32051	46123
410	32148	46071
411	32255	46034
412	32357	45989
413	32507	46013
414	32629	45995
415	32783	46023
416	32853	45932
417	32903	45813
418	32955	45696
419	32986	45552
420	33026	45421
421	33064	45287
422	33093	45141
423	33115	44986
424	33153	44855
425	33201	44736
426	33238	44603
427	33272	44466
428	33324	44354
429	33354	44214
430	33398	44091
431	33433	43958
432	33465	43822
433	33514	43708
434	33550	43577
435	33569	43425
436	33617	43310
437	33659	43188
438	33683	43043
439	33714	42909
440	33766	42801
441	33794	42664
442	33850	42560
443	33866	42409
444	33909	42291
445	34001	42234
446	34076	42157
447	34159	42089
448	34245	42025
449	34349	41982
450	34460	41948
451	34583	41929
452	34685	41882
453	34759	41803
454	34848	41741
455	34939	41682
456	35017	41607
457	35093	41529
458	35187	41473
459	35279	41415
460	35366	41350
461	35447	41278
462	35547	41229
463	35639	41169
464	35745	41127
465	35845	41076
466	35943	41023
467	36020	40946
468	36115	40889
469	36189	40809
470	36265	40731
471	36335	40646
472	36433	40593
473	36508	40514
474	36578	40429
475	36637	40331
476	36705	40244
477	36789	40175
478	36869	40102
479	36941	40020
480	37037	39963
481	37137	39911
482	37237	39859
483	37307	39774
484	37387	39699
485	37468	39627
486	37549	39553
487	37626	39476
488	37701	39397
489	37787	39330
490	37864	39253
491	37969	39203
492	38049	39130
493	38179	39107
494	38289	39062
495	38384	39003
496	38523	38988
497	38608	38918
498	38682	38837
499	38783	38783
500	38867	38712
501	38961	38651
502	39030	38565
503	39110	38489
504	39173	38398
505	39249	38318
506	39331	38245
507	39397	38156
508	39456	38061
509	39551	38000
510	39623	37918
511	39722	37860
512	39812	37794
513	39883	37710
514	39984	37655
515	40080	37595
516	40157	37516
517	40257	37459
518	40331	37378
519	40404	37296
520	40479	37216
521	40568	37149
522	40666	37089
523	40733	37002
524	40797	36911
525	40890	36847
526	40982	36782
527	41046	36693
528	41114	36607
529	41195	36532
530	41285	36465
531	41407	36426
532	41493	36355
533	41567	36273
534	41620	36174
535	41696	36095
536	41766	36010
537	41877	35961
538	41972	35898
539	42084	35850
540	42192	35797
541	42271	35720
542	42397	35682
543	42512	35635
544	42617	35579
545	42724	35525
546	42835	35474
547	42968	35440
548	43152	35449
549	43309	35435
550	43423	35385
551	43538	35335
552	43646	35280
553	43747	35218
554	43858	35165
555	43977	35118
556	44071	35051
557	44131	34956
558	44227	34891
559	44315	34819
560	44396	34741
561	44504	34684
562	44589	34610
563	44661	34525
564	44742	34447
565	44826	34372
566	44925	34308
567	45011	34233
568	45097	34160
569	45260	34143
570	45372	34089
571	45467	34021
572	45585	33970
573	45696	33914
574	45772	33831
575	45858	33757
576	45943	33681
577	46046	33619
578	46136	33546
579	46236	33481
580	46321	33405
581	46401	33326
582	46512	33268
583	46600	33194
584	46701	33129
585	46810	33071
586	46906	33002
587	46967	32909
588	47060	32838
589	47168	32778
590	47253	32701
591	47320	32613
592	47416	32544
593	47487	32457
594	47568	32378
595	47656	32304
596	47720	32213
597	47786	32123
598	47889	32059
599	47955	31970
600	48014	31876
601	48109	31806
602	48174	31717
603	48255	31637
604	48336	31558
605	48416	31478
606	48482	31390
607	48563	31310
608	48654	31237
609	48748	31167
610	48877	31118
611	48974	31049
612	49060	30972
613	49140	30892
614	49224	30815
615	49307	30737
616	49382	30653
617	49487	30589
618	49576	30514
619	49709	30467
620	49889	30448
621	49984	30376
622	50092	30312
623	50208	30253
624	50271	30162
625	50345	30078
626	50435	30004
627	50532	29933
628	50599	29844
629	50682	29765
630	50751	29678
631	50845	29605
632	50922	29523
633	51001	29442
634	51058	29348
635	51137	29267
636	51222	29189
637	51303	29109
638	51479	29083
639	51578	29012
640	51710	28961
641	51778	28873
642	51854	28789
643	51901	28691
